,Match_Id,Team_Id,Opponent_Team_Id,Toss_Won,Bat_First,Win_Percenetage,Opponent_Win_Percentage,Win_Percenetage_Against,Toss_Decision_Win_Percentage,Bat_Decision_Win_Percentage,Match_Won
331,419161,8,,1,0,38.666666666666664,49.166666666666664,30.0,44.18604651162791,58.13953488372093,1
332,419162,2,,1,0,49.59349593495935,57.93650793650794,47.05882352941177,52.72727272727273,57.69230769230769,0
333,419162,7,,0,1,57.93650793650794,49.59349593495935,52.94117647058823,44.61538461538461,59.42028985507246,1
334,419163,1,,0,0,51.282051282051285,53.389830508474574,40.0,46.03174603174603,54.54545454545455,0
335,419163,5,,1,1,53.389830508474574,51.282051282051285,60.0,53.96825396825397,46.2962962962963,1
336,419164,4,,0,1,49.166666666666664,60.30534351145038,41.1764705882353,55.172413793103445,42.622950819672134,0
337,419164,3,,1,0,60.30534351145038,49.166666666666664,58.8235294117647,63.63636363636363,41.55844155844156,1
338,419165,6,,0,0,41.1764705882353,38.666666666666664,63.63636363636363,58.92857142857143,68.62745098039215,0
339,419165,8,,1,1,38.666666666666664,41.1764705882353,36.36363636363637,44.18604651162791,41.86046511627907,1
340,419166,1,,0,0,51.282051282051285,57.93650793650794,31.25,46.03174603174603,54.54545454545455,0
341,419166,7,,1,1,57.93650793650794,51.282051282051285,68.75,55.38461538461539,59.42028985507246,1
342,419167,2,,0,0,49.59349593495935,57.93650793650794,47.05882352941177,47.27272727272727,57.69230769230769,0
343,419167,7,,1,1,57.93650793650794,49.59349593495935,52.94117647058823,55.38461538461539,59.42028985507246,1
344,419168,3,,1,1,60.30534351145038,38.666666666666664,60.0,63.63636363636363,58.44155844155844,0
345,419168,8,,0,0,38.666666666666664,60.30534351145038,40.0,55.81395348837209,58.13953488372093,1
346,419169,2,,0,0,49.59349593495935,38.666666666666664,45.45454545454545,47.27272727272727,57.69230769230769,0
347,419169,8,,1,1,38.666666666666664,49.59349593495935,54.54545454545455,44.18604651162791,41.86046511627907,1
348,419170,3,,1,1,60.30534351145038,57.93650793650794,45.45454545454545,63.63636363636363,58.44155844155844,0
349,419170,7,,0,0,57.93650793650794,60.30534351145038,54.54545454545455,44.61538461538461,40.57971014492754,1
350,501203,3,,1,1,60.30534351145038,51.282051282051285,62.5,63.63636363636363,58.44155844155844,0
351,501203,1,,0,0,51.282051282051285,60.30534351145038,37.5,46.03174603174603,54.54545454545455,1
352,501204,8,,0,1,38.666666666666664,53.389830508474574,22.22222222222222,55.81395348837209,41.86046511627907,0
353,501204,5,,1,0,53.389830508474574,38.666666666666664,77.77777777777777,53.96825396825397,53.7037037037037,1
354,501205,9,,1,1,42.857142857142854,49.59349593495935,0,50.0,28.571428571428573,0
355,501205,2,,0,0,49.59349593495935,42.857142857142854,100,47.27272727272727,57.69230769230769,1
356,501206,6,,1,1,41.1764705882353,57.93650793650794,50.0,41.07142857142857,31.372549019607842,0
357,501206,7,,0,0,57.93650793650794,41.1764705882353,50.0,44.61538461538461,40.57971014492754,1
358,501207,10,,0,0,26.08695652173913,49.166666666666664,50.0,85.0,70.0,0
359,501207,4,,1,1,49.166666666666664,26.08695652173913,50.0,44.827586206896555,42.622950819672134,1
360,501208,1,,1,1,51.282051282051285,38.666666666666664,77.77777777777777,53.96825396825397,45.45454545454545,0
361,501208,8,,0,0,38.666666666666664,51.282051282051285,22.22222222222223,55.81395348837209,58.13953488372093,1
362,501209,5,,0,0,53.389830508474574,41.1764705882353,62.5,46.03174603174603,53.7037037037037,0
363,501209,6,,1,1,41.1764705882353,53.389830508474574,37.5,41.07142857142857,31.372549019607842,1
364,501210,2,,0,1,49.59349593495935,57.93650793650794,47.05882352941177,47.27272727272727,42.30769230769231,0
365,501210,7,,1,0,57.93650793650794,49.59349593495935,52.94117647058823,55.38461538461539,40.57971014492754,1
366,501211,4,,1,0,49.166666666666664,60.30534351145038,41.1764705882353,44.827586206896555,57.377049180327866,0
367,501211,3,,0,1,60.30534351145038,49.166666666666664,58.8235294117647,36.36363636363637,58.44155844155844,1
368,501212,10,,0,0,26.08695652173913,42.857142857142854,100.0,85.0,70.0,0
369,501212,9,,1,1,42.857142857142854,26.08695652173913,0.0,50.0,28.571428571428573,1
370,501213,8,,0,1,38.666666666666664,49.59349593495935,54.54545454545455,55.81395348837209,41.86046511627907,0
