Match_Id,Day,Team_Id,Toss_Won,Bat_First,Win_Percenetage,Opponent_Win_Percentage,Win_Percenetage_Against,Toss_Decision_Win_Percentage,Bat_Decision_Win_Percentage,Match_Won
501209,1,6,1,1,42.10526316,53.38983051,37.5,43.75,31.57894737,1
501210,0,2,0,1,50.35971223,57.14285714,42.10526316,45.90163934,43.5483871,0
501210,0,7,1,0,57.14285714,50.35971223,57.89473684,55.40540541,43.42105263,1
501211,1,4,1,0,47.01492537,60.30534351,41.17647059,40.625,59.42028986,0
501211,1,3,0,1,60.30534351,47.01492537,58.82352941,36.36363636,58.44155844,1
501212,0,10,0,0,26.08695652,42.85714286,100,85,70,0
501212,0,9,1,1,42.85714286,26.08695652,0,50,28.57142857,1
501213,1,8,0,1,38.66666667,50.35971223,54.54545455,55.81395349,41.86046512,0
501213,1,2,1,0,50.35971223,38.66666667,45.45454545,54.09836066,56.4516129,1
501214,1,5,0,1,53.38983051,51.51515152,60,46.03174603,46.2962963,0
501214,1,1,1,0,51.51515152,53.38983051,40,55.07246377,56.4516129,1
501215,0,7,0,1,57.14285714,42.85714286,0,44.59459459,56.57894737,0
501215,0,9,1,0,42.85714286,57.14285714,100,50,71.42857143,1
501216,1,3,1,1,60.30534351,50.35971223,63.15789474,63.63636364,58.44155844,0
501216,1,2,0,0,50.35971223,60.30534351,36.84210526,45.90163934,56.4516129,1
501217,0,8,0,1,38.66666667,47.01492537,30,55.81395349,41.86046512,0
501217,0,4,1,0,47.01492537,38.66666667,70,40.625,59.42028986,1
501218,1,10,0,1,26.08695652,42.10526316,33.33333333,85,30,0
501218,1,6,1,0,42.10526316,26.08695652,66.66666667,43.75,68.42105263,1
501219,0,1,1,0,51.51515152,53.38983051,40,55.07246377,56.4516129,0
501219,0,5,0,1,53.38983051,51.51515152,60,46.03174603,46.2962963,1
501220,1,9,1,0,42.85714286,60.30534351,50,50,71.42857143,0
501220,1,3,0,1,60.30534351,42.85714286,50,36.36363636,58.44155844,1
501221,1,6,0,0,42.10526316,38.66666667,63.63636364,56.25,68.42105263,0
501221,1,8,1,1,38.66666667,42.10526316,36.36363636,44.18604651,41.86046512,1
501223,1,7,0,0,57.14285714,26.08695652,83.33333333,44.59459459,43.42105263,0
501223,1,10,1,1,26.08695652,57.14285714,16.66666667,15,30,1
501224,0,1,1,0,51.51515152,42.85714286,0,55.07246377,56.4516129,0
501224,0,9,0,1,42.85714286,51.51515152,100,50,28.57142857,1
501225,1,4,0,1,47.01492537,53.38983051,40,59.375,40.57971014,0
501225,1,5,1,0,53.38983051,47.01492537,60,53.96825397,53.7037037,1
501226,1,7,0,1,57.14285714,60.30534351,54.54545455,44.59459459,56.57894737,0
501226,1,3,1,0,60.30534351,57.14285714,45.45454545,63.63636364,41.55844156,1
501227,0,1,0,1,51.51515152,50.35971223,50,44.92753623,43.5483871,0
501227,0,2,1,0,50.35971223,51.51515152,50,54.09836066,56.4516129,1
501228,1,6,0,1,42.10526316,47.01492537,44.44444444,56.25,31.57894737,0
501228,1,4,1,0,47.01492537,42.10526316,55.55555556,40.625,59.42028986,1
501229,1,8,1,0,38.66666667,57.14285714,40,44.18604651,58.13953488,0
501229,1,7,0,1,57.14285714,38.66666667,60,44.59459459,56.57894737,1
501230,0,5,1,0,53.38983051,42.85714286,50,53.96825397,53.7037037,0
501230,0,9,0,1,42.85714286,53.38983051,50,50,28.57142857,1
501231,1,3,0,1,60.30534351,26.08695652,66.66666667,36.36363636,58.44155844,0
501231,1,10,1,0,26.08695652,60.30534351,33.33333333,15,70,1
501232,1,6,0,1,42.10526316,50.35971223,35.29411765,56.25,31.57894737,0
501232,1,2,1,0,50.35971223,42.10526316,64.70588235,54.09836066,56.4516129,1
501233,1,10,1,1,26.08695652,60.30534351,33.33333333,15,30,0
501233,1,3,0,0,60.30534351,26.08695652,66.66666667,36.36363636,41.55844156,1
501234,0,9,1,0,42.85714286,38.66666667,0,50,71.42857143,0
501234,0,8,0,1,38.66666667,42.85714286,100,55.81395349,41.86046512,1
501235,1,6,1,0,42.10526316,51.51515152,41.17647059,43.75,68.42105263,0
501235,1,1,0,1,51.51515152,42.10526316,58.82352941,44.92753623,43.5483871,1
501236,1,5,1,0,53.38983051,57.14285714,37.5,53.96825397,53.7037037,0
501236,1,7,0,1,57.14285714,53.38983051,62.5,44.59459459,56.57894737,1
501237,0,2,0,1,50.35971223,26.08695652,100,45.90163934,43.5483871,0
501237,0,10,1,0,26.08695652,50.35971223,0,15,70,1
501238,1,9,0,0,42.85714286,42.10526316,50,50,71.42857143,0
501238,1,6,1,1,42.10526316,42.85714286,50,43.75,31.57894737,1
501239,0,1,1,0,51.51515152,47.01492537,68.42105263,55.07246377,56.4516129,0
501239,0,4,0,1,47.01492537,51.51515152,31.57894737,59.375,40.57971014,1
501240,1,5,1,0,53.38983051,26.08695652,80,53.96825397,53.7037037,0
501240,1,10,0,1,26.08695652,53.38983051,20,85,30,1
501241,0,3,1,1,60.30534351,38.66666667,60,63.63636364,58.44155844,0
501241,0,8,0,0,38.66666667,60.30534351,40,55.81395349,58.13953488,1
501242,1,7,0,1,57.14285714,47.01492537,50,44.59459459,56.57894737,0
501242,1,4,1,0,47.01492537,57.14285714,50,40.625,59.42028986,1
501243,0,6,0,1,42.10526316,42.85714286,50,56.25,31.57894737,0
