Match_Id,Day,Team_Id,Toss_Won,Bat_First,Win_Percenetage,Opponent_Win_Percentage,Win_Percenetage_Against,Toss_Decision_Win_Percentage,Bat_Decision_Win_Percentage,Team1_Score,Team2_Score,Match_Won
336009,1,7,0,1,57.14285714,42.10526316,50,44.59459459,56.57894737,401.3132685,313.8541008,0
336009,1,6,1,0,42.10526316,57.14285714,50,43.75,68.42105263,313.8541008,401.3132685,1
336010,0,5,0,0,53.38983051,60.30534351,35.29411765,46.03174603,53.7037037,415.0445808,79.04506548,0
336010,0,3,1,1,60.30534351,53.38983051,64.70588235,63.63636364,58.44155844,79.04506548,415.0445808,1
336011,1,2,0,1,50.35971223,47.01492537,44.44444444,45.90163934,43.5483871,200.5357632,393.1029914,0
336011,1,4,1,0,47.01492537,50.35971223,55.55555556,40.625,59.42028986,393.1029914,200.5357632,1
336012,1,3,0,1,60.30534351,38.66666667,60,36.36363636,58.44155844,179.7697403,465.3364668,0
336012,1,8,1,0,38.66666667,60.30534351,40,44.18604651,58.13953488,465.3364668,179.7697403,1
336013,1,7,1,0,57.14285714,53.38983051,62.5,55.40540541,43.42105263,374.2382348,152.5314195,0
336013,1,5,0,1,53.38983051,57.14285714,37.5,46.03174603,46.2962963,152.5314195,374.2382348,1
336014,1,6,0,1,42.10526316,60.30534351,31.25,56.25,31.57894737,468.6362514,333.695159,0
336014,1,3,1,0,60.30534351,42.10526316,68.75,63.63636364,41.55844156,333.695159,468.6362514,1
336015,0,1,1,1,51.51515152,50.35971223,50,55.07246377,43.5483871,279.2394026,316.3495193,0
336015,0,2,0,0,50.35971223,51.51515152,50,45.90163934,56.4516129,316.3495193,279.2394026,1
336016,1,5,1,0,53.38983051,38.66666667,77.77777778,53.96825397,53.7037037,432.7937193,231.0052053,0
336016,1,8,0,1,38.66666667,53.38983051,22.22222222,55.81395349,41.86046512,231.0052053,432.7937193,1
336017,1,2,0,1,50.35971223,57.14285714,42.10526316,45.90163934,43.5483871,57.01322278,399.7220017,0
336017,1,7,1,0,57.14285714,50.35971223,57.89473684,55.40540541,43.42105263,399.7220017,57.01322278,1
336018,1,3,0,1,60.30534351,47.01492537,58.82352941,36.36363636,58.44155844,587.1265577,339.8926476,0
336018,1,4,1,0,47.01492537,60.30534351,41.17647059,40.625,59.42028986,339.8926476,587.1265577,1
336019,1,8,0,0,38.66666667,51.51515152,22.22222222,55.81395349,58.13953488,326.4350692,503.6414736,0
336019,1,1,1,1,51.51515152,38.66666667,77.77777778,55.07246377,43.5483871,503.6414736,326.4350692,1
336020,0,5,1,0,53.38983051,42.10526316,62.5,53.96825397,53.7037037,408.1362075,337.1553385,0
336020,0,6,0,1,42.10526316,53.38983051,37.5,56.25,31.57894737,337.1553385,408.1362075,1
336021,1,4,0,0,47.01492537,50.35971223,55.55555556,59.375,59.42028986,389.5754842,153.5357994,0
336021,1,2,1,1,50.35971223,47.01492537,44.44444444,54.09836066,43.5483871,153.5357994,389.5754842,1
336022,1,1,1,1,51.51515152,42.10526316,58.82352941,55.07246377,43.5483871,366.9292792,231.5622695,0
336022,1,6,0,0,42.10526316,51.51515152,41.17647059,56.25,68.42105263,231.5622695,366.9292792,1
336023,1,7,1,0,57.14285714,60.30534351,54.54545455,55.40540541,43.42105263,500.4962496,196.759889,0
336023,1,3,0,1,60.30534351,57.14285714,45.45454545,36.36363636,58.44155844,196.759889,500.4962496,1
336024,1,4,0,1,47.01492537,53.38983051,40,59.375,40.57971014,637.0602332,359.749566,0
336024,1,5,1,0,53.38983051,47.01492537,60,53.96825397,53.7037037,359.749566,637.0602332,1
336025,1,6,0,1,42.10526316,38.66666667,63.63636364,56.25,31.57894737,619.8796707,331.2312639,0
336025,1,8,1,0,38.66666667,42.10526316,36.36363636,44.18604651,58.13953488,331.2312639,619.8796707,1
336026,1,7,1,0,57.14285714,51.51515152,72.22222222,55.40540541,43.42105263,438.1644648,61.72705235,0
336026,1,1,0,1,51.51515152,57.14285714,27.77777778,44.92753623,43.5483871,61.72705235,438.1644648,1
336027,1,6,1,1,42.10526316,47.01492537,44.44444444,43.75,31.57894737,273.8245879,299.5953932,0
336027,1,4,0,0,47.01492537,42.10526316,55.55555556,59.375,59.42028986,299.5953932,273.8245879,1
336028,0,5,0,1,53.38983051,50.35971223,43.75,46.03174603,46.2962963,524.4763241,186.7184563,0
336028,0,2,1,0,50.35971223,53.38983051,56.25,54.09836066,56.4516129,186.7184563,524.4763241,1
336029,1,8,1,0,38.66666667,57.14285714,40,44.18604651,58.13953488,322.9571225,337.2539842,0
336029,1,7,0,1,57.14285714,38.66666667,60,44.59459459,56.57894737,337.2539842,322.9571225,1
