Match_Id,Team_Id,Opponent_Id,Score
392231,4,6,555.6737901
392232,3,7,495.538372
392233,1,8,634.3797638
392234,4,8,554.4615015
392235,5,6,585.8183594
392236,1,3,718.2647818
392237,2,6,527.1517897
392238,1,5,521.0362768
392239,3,4,515.7134401
392240,6,7,748.5870275
392241,2,8,810.1921057
392242,6,8,783.3070756
392243,2,3,555.0410727
392244,2,8,694.0979071
419111,1,8,609.7446156
419112,5,7,1053.125793
419113,4,6,709.8657955
419114,1,2,663.8802725
419115,3,8,754.9213495
419116,5,6,657.150665
419117,2,4,853.1369755
419118,1,3,646.9862997
419119,6,7,851.8164337
419120,2,5,482.3369307
419121,3,6,828.4854769
419122,4,8,786.2713381
419123,1,5,583.7753787
419124,2,7,650.7940586
419125,6,8,861.6272753
419126,3,4,838.7029335
419127,1,7,521.610738
419128,2,3,731.9492101
419129,4,5,785.8013305
419130,3,7,663.4554608
419131,5,8,752.6030282
419132,1,4,640.7417171
419133,2,6,839.965561
419134,3,5,870.4924692
419135,7,8,691.3975771
419136,1,6,718.4932667
419137,4,7,737.3457997
419138,2,3,698.8312239
419139,5,6,879.9897335
419140,1,8,717.6314894
419141,2,4,786.9616633
419142,3,5,1254.206532
419143,7,8,718.7813742
419144,1,4,810.2832796
419145,2,6,813.1494672
419146,5,8,1030.851622
419147,3,7,527.4421177
419148,4,5,556.5099824
419149,1,6,728.4556303
419150,2,8,900.979299
419151,4,7,689.6165768
419152,3,8,655.4518064
419153,1,2,853.1985952
419154,4,6,455.3536244
419155,5,7,711.7688609
419156,2,8,690.7741779
419157,6,7,697.9262694
419158,1,3,506.837838
419159,2,5,689.6149187
419160,3,6,479.3283979
419161,4,8,700.2099984
419162,2,7,638.1883241
419163,1,5,579.5999249
419164,3,4,802.4802551
419165,6,8,704.0046241
419166,1,7,484.6137083
419167,2,7,715.6159042
419168,3,8,687.1292244
419169,2,8,465.0645622
419170,3,7,715.3883798
501203,1,3,666.614625
501204,5,8,617.4115499
501205,2,9,557.6596576
501206,6,7,515.9045745
